Nombre,Precio,Valoracion,Tienda,Fecha,componente,Match,Nombre_Ref,ID,brand_name,items_Decribtion,ratings,prices,Category,P_Ref,Diferencia
Thermaltake TOUGHPOWER PF3 1050W 80 Plus Platinum Full Modular,225.4,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R', 82)",Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R,47,Thermaltake,Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R,(37),181.99,power,181.99,-43.41
Thermaltake TOUGHPOWER PF3 1200W 80 Plus Platinum Full Modular,300.0,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Toughpower 1200W Gold PS-TPD-1200MPCGUS-1 1200W ATX12V / EPS12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply', 83)",Thermaltake Toughpower 1200W Gold PS-TPD-1200MPCGUS-1 1200W ATX12V / EPS12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply,131,SeaSonic USA,Thermaltake Toughpower 1200W Gold PS-TPD-1200MPCGUS-1 1200W ATX12V / EPS12V 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply,(449),226.99,power,226.99,-73.01
Hiditec BZX850 V2 850W 80 Plus Bronze Modular,87.99,"4,4/5",PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Smart Pro RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS Bronze Certified Full Modular Power Supply PS-SPR-0850FPCBUS-R', 80)",Thermaltake Smart Pro RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS Bronze Certified Full Modular Power Supply PS-SPR-0850FPCBUS-R,94,Rosewill,Thermaltake Smart Pro RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS Bronze Certified Full Modular Power Supply PS-SPR-0850FPCBUS-R,(44),132.99,power,132.99,45.0
Hiditec BZX750 V2 750W 80 Plus Bronze Modular,79.99,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Smart Pro RGB 750W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS Bronze Certified Full Modular Power Supply PS-SPR-0750FPCBUS-R', 80)",Thermaltake Smart Pro RGB 750W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS Bronze Certified Full Modular Power Supply PS-SPR-0750FPCBUS-R,56,Corsair,Thermaltake Smart Pro RGB 750W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS Bronze Certified Full Modular Power Supply PS-SPR-0750FPCBUS-R,(12),454.99,power,454.99,375.0
Thermaltake Toughpower GF 3 1350W PCIe Gen 5.0 80 Plus Gold Full Modular,235.99,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R', 80)",Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R,47,Thermaltake,Thermaltake Toughpower Grand RGB 850W Smart Zero Fan SLI/CrossFire Ready Continuous Power ATX12V v2.4 / EPS v2.92 80 PLUS GOLD Certified Full Modular Power Supply PS-TPG-0850FPCGUS-R,(37),181.99,power,181.99,-54.0
Seasonic PRIME Fanless-PX-500 450W 80 Plus Platinum Modular,197.68,,PcComponentes,2026-04-17,fuentes-alimentacion,"('Seasonic PRIME PX-750, 750W 80+ Platinum, Full Modular, Fan Control in Fanless, Silent, and Cooling Mode, 12 Year Warranty, Perfect Power Supply for Gaming and High-Performance Systems, SSR-750PD2.', 87)","Seasonic PRIME PX-750, 750W 80+ Platinum, Full Modular, Fan Control in Fanless, Silent, and Cooling Mode, 12 Year Warranty, Perfect Power Supply for Gaming and High-Performance Systems, SSR-750PD2.",39,Thermaltake,"Seasonic PRIME PX-750, 750W 80+ Platinum, Full Modular, Fan Control in Fanless, Silent, and Cooling Mode, 12 Year Warranty, Perfect Power Supply for Gaming and High-Performance Systems, SSR-750PD2.",(47),566.99,power,566.99,369.31
Corsair CV Series CV650 650W 80 Plus Bronze,52.0,,PcComponentes,2026-04-17,fuentes-alimentacion,"('CORSAIR CV Series CV650 CP-9020211-NA 650W ATX12V 80 PLUS BRONZE Certified Non-Modular Power Supply', 100)",CORSAIR CV Series CV650 CP-9020211-NA 650W ATX12V 80 PLUS BRONZE Certified Non-Modular Power Supply,74,EVGA,CORSAIR CV Series CV650 CP-9020211-NA 650W ATX12V 80 PLUS BRONZE Certified Non-Modular Power Supply,(107),265.99,power,265.99,213.99
"Seagate BarraCuda 3.5"" 2TB SATA 3",109.95,,PcComponentes,2026-04-17,discos-duros,"('Seagate BarraCuda ST2000DM008 2TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Hard Drive Bare Drive', 100)","Seagate BarraCuda ST2000DM008 2TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Hard Drive Bare Drive",10,Seagate,"Seagate BarraCuda ST2000DM008 2TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Hard Drive Bare Drive",(217),"1,776.00",storege,1776.0,1666.05
PNY CS1030 500GB SSD M.2 PCIe NVMe 3D NAND,104.99,,PcComponentes,2026-04-17,discos-duros,"('HP EX900 M.2 500GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY44AA#ABC', 85)",HP EX900 M.2 500GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY44AA#ABC,178,Seagate,HP EX900 M.2 500GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY44AA#ABC,(130),339.99,storege,339.99,235.0
"WD Red Pro 3.5"" 8TB 256MB SATA 3",299.12,,PcComponentes,2026-04-17,discos-duros,"('WD Red Pro WD8003FFBX 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 100)","WD Red Pro WD8003FFBX 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",340,Western Digital,"WD Red Pro WD8003FFBX 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",,268.09,storege,268.09,-31.03
"Seagate IronWolf Pro 3.5"" NAS 16TB SATA 3",658.08,,PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000', 100)","Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000",16,Seagate,"Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000",(9),170.99,storege,170.99,-487.09
"Seagate IronWolf Pro NAS 10TB 3.5"" SATA 3",367.99,,PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf Pro 10TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST10000NE0008', 100)","Seagate IronWolf Pro 10TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST10000NE0008",99,Seagate,"Seagate IronWolf Pro 10TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST10000NE0008",(88),404.99,storege,404.99,37.0
"Seagate IronWolf Pro ST4000NT001 3.5"" 4TB SATA",199.95,,PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf Pro 4TB NAS Hard Drive 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST4000NE0025', 85)","Seagate IronWolf Pro 4TB NAS Hard Drive 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST4000NE0025",341,Seagate,"Seagate IronWolf Pro 4TB NAS Hard Drive 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST4000NE0025",,276.42,storege,276.42,76.47
