Producto,Precio Tienda,Precio Referencia,Similitud %,Diferencia €,MayorPrecio,Categoría,Fecha
Thermaltake Toughpower GF1 650W 80 Plus Gold Modular,99.14,207.99,96,108.85,Kaggle,fuentes-alimentacion,2026-04-16
Be quiet Power Zone 2 1000W 80 PLUS Platinum Modular,159.95,245.99,84,86.04,Kaggle,fuentes-alimentacion,2026-04-16
Corsair HXi Series HX1000i 1000W 80 Plus Platinum Modular,233.72,245.99,88,12.27,Kaggle,fuentes-alimentacion,2026-04-16
Thermaltake Toughpower GF 3 1200W PCIe Gen 5.0 80 Plus Gold Full Modular,211.85,226.99,81,15.14,Kaggle,fuentes-alimentacion,2026-04-16
Corsair SF750 750W SFX 80 Plus Platinum Modular,163.96,359.99,88,196.03,Kaggle,fuentes-alimentacion,2026-04-16
Thermaltake Toughpower GF 3 1000W PCIe Gen 5.0 80 Plus Gold Full Modular,187.99,181.99,80,-6.0,PcComponentes,fuentes-alimentacion,2026-04-16
Corsair SF850 850W SFX 80 Plus Platinum Modular,180.99,285.58,88,104.59,Kaggle,fuentes-alimentacion,2026-04-16
Corsair RM750x SHIFT White Series 750W 80 Plus Gold Modular,137.99,359.99,95,222.0,Kaggle,fuentes-alimentacion,2026-04-16
Be quiet Power Zone 2 850W 80 PLUS Platinum Modular,139.95,,84,,Mismo Precio,fuentes-alimentacion,2026-04-16
Thermaltake TOUGHPOWER PF3 1050W 80 Plus Platinum Full Modular,225.4,181.99,82,-43.41,PcComponentes,fuentes-alimentacion,2026-04-16
Thermaltake TOUGHPOWER PF3 1200W 80 Plus Platinum Full Modular,300.0,226.99,83,-73.01,PcComponentes,fuentes-alimentacion,2026-04-16
Corsair RM1000x SHIFT 1000W 80 Plus Gold Modular,286.99,1199.4,93,912.41,Kaggle,fuentes-alimentacion,2026-04-16
Hiditec BZX850 V2 850W 80 Plus Bronze Modular,87.99,132.99,80,45.0,Kaggle,fuentes-alimentacion,2026-04-16
Hiditec BZX750 V2 750W 80 Plus Bronze Modular,79.99,454.99,80,375.0,Kaggle,fuentes-alimentacion,2026-04-16
Thermaltake Toughpower GF 3 1350W PCIe Gen 5.0 80 Plus Gold Full Modular,235.99,181.99,80,-54.0,PcComponentes,fuentes-alimentacion,2026-04-16
Seasonic PRIME Fanless-PX-500 450W 80 Plus Platinum Modular,197.68,566.99,87,369.31,Kaggle,fuentes-alimentacion,2026-04-16
Corsair CV Series CV650 650W 80 Plus Bronze,52.0,265.99,100,213.99,Kaggle,fuentes-alimentacion,2026-04-16
"Seagate BarraCuda 3.5"" 2TB SATA 3",109.95,1776.0,100,1666.05,Kaggle,discos-duros,2026-04-16
PNY CS1030 500GB SSD M.2 PCIe NVMe 3D NAND,104.99,339.99,85,235.0,Kaggle,discos-duros,2026-04-16
"WD Red Pro 3.5"" 8TB 256MB SATA 3",299.12,268.09,100,-31.03,PcComponentes,discos-duros,2026-04-16
"Seagate IronWolf Pro 3.5"" NAS 16TB SATA 3",654.23,170.99,100,-483.24,PcComponentes,discos-duros,2026-04-16
Lexar NM620 256GB SSD M.2 PCIe 3.0 3D TLC NAND NVMe,79.99,132.99,87,53.0,Kaggle,discos-duros,2026-04-16
"Seagate IronWolf Pro NAS 10TB 3.5"" SATA 3",374.0,404.99,100,30.99,Kaggle,discos-duros,2026-04-16
"Seagate IronWolf Pro ST4000NT001 3.5"" 4TB SATA",199.95,276.42,85,76.47,Kaggle,discos-duros,2026-04-16
"WD Purple 3.5"" 8TB SATA III",304.99,754.99,92,450.0,Kaggle,discos-duros,2026-04-16
"Seagate IronWolf Pro 3.5"" 20TB SATA 3",588.38,170.99,92,-417.39,PcComponentes,discos-duros,2026-04-16
"Seagate SkyHawk 3.5"" 1TB SATA 3",101.45,570.99,100,469.54,Kaggle,discos-duros,2026-04-16
"Seagate SkyHawk 2TB 3.5"" SATA 3",129.13,121.82,100,-7.31,PcComponentes,discos-duros,2026-04-16
"WD Red Pro 3.5"" 6TB 256MB SATA 3",277.09,452.29,100,175.2,Kaggle,discos-duros,2026-04-16
"Seagate Exos X22 3.5"" 22TB SATA 3",782.98,611.99,82,-170.99,PcComponentes,discos-duros,2026-04-16
"Seagate Ironwolf NAS 3.5"" 6 TB SATA 3",261.58,1575.99,95,1314.41,Kaggle,discos-duros,2026-04-16
"WD Red Pro 3.5"" 16TB 512MB SATA 3",559.0,616.39,91,57.39,Kaggle,discos-duros,2026-04-16
"WD Purple 1TB 3.5"" SATA 3",108.49,1369.69,100,1261.2,Kaggle,discos-duros,2026-04-16
"Seagate IronWolf Pro 3.5"" 24TB SATA 3",969.52,170.99,92,-798.53,PcComponentes,discos-duros,2026-04-16
"Seagate SkyHawk 8TB 3.5"" SATA 3",290.04,392.99,100,102.95,Kaggle,discos-duros,2026-04-16
"WD Red Pro 3.5"" 4TB 256MB SATA 3",244.2,61.99,100,-182.21,PcComponentes,discos-duros,2026-04-16
Lexar NM620 1TB SSD M.2 PCIe 3.0 3D TLC NAND NVMe,161.99,132.99,80,-29.0,PcComponentes,discos-duros,2026-04-16
"WD Purple 3.5"" 6 TB SATA 3",219.95,1875.32,95,1655.37,Kaggle,discos-duros,2026-04-16
"WD Blue 3.5"" 6TB 5400 RPM 256MB CMR SATA 3",210.95,551.41,95,340.46,Kaggle,discos-duros,2026-04-16
"Seagate IronWolf Pro ST8000NT001 3.5"" 8TB SATA",314.55,936.99,85,622.44,Kaggle,discos-duros,2026-04-16
"WD Red Plus 3.5"" 2TB 64MB SATA 3",170.01,3189.99,91,3019.98,Kaggle,discos-duros,2026-04-16
"WD Purple 1TB 3.5"" SATA3",99.95,1369.69,85,1269.74,Kaggle,discos-duros,2026-04-16
"WD Purple 4TB 3.5"" SATA 3",203.99,702.71,100,498.72,Kaggle,discos-duros,2026-04-16
"Seagate IronWolf 3.5"" 8TB SATA 3",360.05,303.99,100,-56.06,PcComponentes,discos-duros,2026-04-16
"Seagate SkyHawk AI 3.5"" 24 TB SATA 3",850.97,995.99,90,145.02,Kaggle,discos-duros,2026-04-16
"WD Red Pro 3.5"" 14TB 512MB SATA 3",539.95,616.39,100,76.44,Kaggle,discos-duros,2026-04-16
"WD Red Pro 3.5"" 22TB 512MB SATA 3",767.95,616.39,91,-151.56,PcComponentes,discos-duros,2026-04-16
"Seagate IronWolf Pro NAS 6TB 3.5"" SATA 3",297.99,378.99,100,81.0,Kaggle,discos-duros,2026-04-16
"Seagate BarraCuda 2.5"" 2TB SATA3",176.99,1214.03,89,1037.04,Kaggle,discos-duros,2026-04-16
Gigabyte AMD Radeon RX 9070 XT GAMING OC 16GB GDDR6 FSR 4,709.0,907.99,81,198.99,Kaggle,tarjetas-graficas,2026-04-16
ASUS Dual GeForce RTX 3050 OC Edition 6GB GDDR6,213.79,263.99,88,50.2,Kaggle,tarjetas-graficas,2026-04-16
Sapphire PULSE AMD Radeon RX 9060 XT 16GB GDDR6 FSR 4,448.9,2669.67,85,2220.77,Kaggle,tarjetas-graficas,2026-04-16
ASUS GeForce GT 710 SL EVO BRK 2GB GDDR5,54.95,1058.99,89,1004.04,Kaggle,tarjetas-graficas,2026-04-16
Asus GeForce GT 730 2GB GDDR5,78.9,1578.63,93,1499.73,Kaggle,tarjetas-graficas,2026-04-16
Sapphire PULSE AMD Radeon RX 9070 XT 16GB GDDR6 FSR 4,799.0,2669.67,85,1870.67,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AMD Radeon RX 9060 XT GAMING OC 16GB GDDR6 FSR 4,490.99,907.99,81,417.0,Kaggle,tarjetas-graficas,2026-04-16
MSI GeForce GT710 2GB DDR3 Low Profile,58.95,831.99,91,773.04,Kaggle,tarjetas-graficas,2026-04-16
Asus GeForce GT 1030 2GB GDDR5,89.9,,91,,Mismo Precio,tarjetas-graficas,2026-04-16
MSI GeForce RTX 3050 VENTUS 2X E OC 6GB GDDR6,241.0,1245.99,88,1004.99,Kaggle,tarjetas-graficas,2026-04-16
ASUS Dual GeForce RTX 3050 V2 OC Edition 8GB GDDR6,267.99,1454.4,82,1186.41,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte Radeon RX 7600 GAMING OC 8GB GDDR6,320.99,907.99,94,587.0,Kaggle,tarjetas-graficas,2026-04-16
ASUS Dual Radeon RX 7600 EVO OC Edition 8GB GDDR6,299.9,753.99,86,454.09,Kaggle,tarjetas-graficas,2026-04-16
Biostar GeForce 210 1GB DDR3,41.99,1170.99,83,1129.0,Kaggle,tarjetas-graficas,2026-04-16
Zotac GeForce GT 710 2GB GDDR3 Low Profile,59.96,605.99,83,546.03,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 3050 WINDFORCE OC V2 6GB GDDR6,227.99,2039.99,91,1812.0,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AMD Radeon RX 9060 XT GAMING OC 8GB GDDR6 FSR 4,384.99,907.99,87,523.0,Kaggle,tarjetas-graficas,2026-04-16
ASUS TUF Gaming GeForce RTX 5060 OC Edition 8GB GDDR7,441.99,263.99,84,-178.0,PcComponentes,tarjetas-graficas,2026-04-16
Gigabyte GeForce GTX 1660 SUPER OC 6GB GDDR6,549.58,680.99,100,131.41,Kaggle,tarjetas-graficas,2026-04-16
Zotac GeForce GT 1030 2GB GDDR5,87.86,,89,,Mismo Precio,tarjetas-graficas,2026-04-16
ASUS GeForce GT 730 2GB GDDR5 Low Profile,75.0,,88,,Mismo Precio,tarjetas-graficas,2026-04-16
Gigabyte GeForce GT 710 2GB DDR3,64.95,605.99,92,541.04,Kaggle,tarjetas-graficas,2026-04-16
ASUS Dual AMD Radeon RX 7900 XTX OC Edition 24GB GDDR6,1274.49,753.99,81,-520.5,PcComponentes,tarjetas-graficas,2026-04-16
ASUS GeForce RTX 3050 LP BRK OC Edition 6GB GDDR6,291.69,263.99,86,-27.7,PcComponentes,tarjetas-graficas,2026-04-16
AMD Radeon PRO W7500 8GB GDDR6,458.83,1868.05,80,1409.22,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AMD Radeon RX 9070 GAMING OC 16GB GDDR6 FSR 4,718.99,907.99,80,189.0,Kaggle,tarjetas-graficas,2026-04-16
Asus Dual GeForce RTX 3060 OC Edition V2 12GB GDDR6,494.38,1454.4,81,960.02,Kaggle,tarjetas-graficas,2026-04-16
ASRock AMD Radeon RX 7600 Challenger OC 8GB GDDR6,341.99,1474.99,90,1133.0,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce GT 1030 Low Profile D4 2GB GDDR4,101.03,800.57,90,699.54,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 3050 OC Low Profile 6GB GDDR6,300.99,2039.99,80,1739.0,Kaggle,tarjetas-graficas,2026-04-16
MSI GeForce RTX 3050 VENTUS 2X XS OC 8GB GDDR6,403.0,4759.08,90,4356.08,Kaggle,tarjetas-graficas,2026-04-16
Asus GeForce GT 1030 Silent 2GB GDDR5,92.8,,81,,Mismo Precio,tarjetas-graficas,2026-04-16
MSI GT 1030 2GHD4 LP OC 2GB DDR4,94.78,,90,,Mismo Precio,tarjetas-graficas,2026-04-16
Asus Radeon RX 580 Dual OC 8GB GDDR5,179.99,860.59,94,680.6,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AORUS GeForce RTX 3060 ELITE 12GB GDDR6,379.99,868.99,80,489.0,Kaggle,tarjetas-graficas,2026-04-16
Tarjeta Gráfica GIGABYTE Radeon RX 9060 XT GAMING 8GB GDDR6 PCIe 5.0,412.2,907.99,80,495.79,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 5050 Gaming OC 8GB GDDR6 Reflex 2 RTX AI DLSS4,366.34,1209.99,80,843.65,Kaggle,tarjetas-graficas,2026-04-16
Sapphire Pulse AMD Radeon RX 7600 Gaming 8GB GDDR6,373.03,2669.67,86,2296.64,Kaggle,tarjetas-graficas,2026-04-16
Asus Dual GeForce RTX 2060 EVO 6GB GDDR6,239.99,4762.99,95,4523.0,Kaggle,tarjetas-graficas,2026-04-16
MSI GeForce RTX 3050 VENTUS 2X XS OC WHITE 8GB GDDR6,363.52,4759.08,84,4395.56,Kaggle,tarjetas-graficas,2026-04-16
Nvidia RTX A1000 8GB GDDR6,558.5,935.71,87,377.21,Kaggle,tarjetas-graficas,2026-04-16
AMD Radeon Pro W5700 8GB GDDR6,563.65,1868.05,80,1304.4,Kaggle,tarjetas-graficas,2026-04-16
ASRock Challenger AMD Radeon RX 9070 16GB GDDR6 FSR 4,722.57,1586.99,80,864.42,Kaggle,tarjetas-graficas,2026-04-16
ASRock Taichi AMD Radeon RX 9070 XT OC 16GB GDDR6 FSR 4,890.65,1587.99,80,697.34,Kaggle,tarjetas-graficas,2026-04-16
ASUS DUAL AMD Radeon RX 9060 XT 8GB GDDR6 FSR 4,420.57,753.99,81,333.42,Kaggle,tarjetas-graficas,2026-04-16
ASUS TUF Gaming GeForce RTX 3070 V2 OC Edition LHR 8GB GDDR6,445.05,263.99,85,-181.06,PcComponentes,tarjetas-graficas,2026-04-16
AsRock AMD Radeon RX 6700 XT Challenger D 12GB GDDR6,389.99,1586.99,84,1197.0,Kaggle,tarjetas-graficas,2026-04-16
Asrock Radeon RX 6500 XT OC 4 GB GDDR6,289.99,1587.99,88,1298.0,Kaggle,tarjetas-graficas,2026-04-16
Asus ROG Strix GeForce GTX 1660 Super OC 6GB GDDR6,169.9,1623.73,97,1453.83,Kaggle,tarjetas-graficas,2026-04-16
Asus ROG Strix GeForce RTX 3090 Gaming 24GB GDDR6X,1299.99,1889.99,80,590.0,Kaggle,tarjetas-graficas,2026-04-16
Asus TUF Gaming GeForce GTX 1660 Ti EVO OC Edition 6GB GDDR6,417.15,1623.73,87,1206.58,Kaggle,tarjetas-graficas,2026-04-16
Asus TUF Gaming GeForce RTX 3070 Ti OC Edition 8GB GDDR6X,370.0,263.99,80,-106.01,PcComponentes,tarjetas-graficas,2026-04-16
Asus TUF GeForce GTX 1660Ti O6G Gaming 6GB GDDR6,189.99,,92,,Mismo Precio,tarjetas-graficas,2026-04-16
Biostar GeForce GT730 2GB DDR3 Low Profile,91.56,831.99,80,740.43,Kaggle,tarjetas-graficas,2026-04-16
Biostar Radeon RX 550 Gaming 4GB GDDR5,121.25,188.99,81,67.74,Kaggle,tarjetas-graficas,2026-04-16
EVGA GeForce GTX 1660 SC Ultra Gaming 6GB GDDR5,380.29,4270.99,100,3890.7,Kaggle,tarjetas-graficas,2026-04-16
EVGA GeForce RTX 2060 KO Ultra Gaming 6GB GDDR6,512.43,1511.99,100,999.56,Kaggle,tarjetas-graficas,2026-04-16
EVGA GeForce RTX 2060 SC OVERCLOCKED 6GB GDDR6,528.98,2343.99,85,1815.01,Kaggle,tarjetas-graficas,2026-04-16
EVGA GeForce RTX 2080 Ti XC Ultra Gaming 11GB GDDR6,349.99,350.99,100,1.0,Kaggle,tarjetas-graficas,2026-04-16
EVGA GeForce RTX 3070 FTW3 ULTRA GAMING 8GB GDDR6,336.05,2040.99,95,1704.94,Kaggle,tarjetas-graficas,2026-04-16
EVGA GeForce RTX 3070 FTW3 ULTRA GAMING LHR 8GB GDDR6,669.8,2040.99,91,1371.19,Kaggle,tarjetas-graficas,2026-04-16
EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING 8GB GDDR6X,942.15,2040.99,84,1098.84,Kaggle,tarjetas-graficas,2026-04-16
EVGA GeForce RTX 3080 Ti FTW3 ULTRA HYBRID GAMING 12GB GDDR6X,692.8,1621.99,84,929.19,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AMD Radeon RX 6750 XT Gaming OC 12GB GDDR6,664.05,907.99,84,243.94,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AMD Radeon RX 6800 XT GAMING OC 16GB GDDR6,1063.28,907.99,84,-155.29,PcComponentes,tarjetas-graficas,2026-04-16
Gigabyte AMD Radeon RX 7700 XT GAMING OC 12GB GDDR6,755.99,907.99,84,152.0,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AORUS GeForce RTX 3070 MASTER 8GB GDDR6,399.99,868.99,86,469.0,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AORUS GeForce RTX 3070 Ti MASTER 8GB GDDR6,879.28,868.99,83,-10.29,PcComponentes,tarjetas-graficas,2026-04-16
Gigabyte AORUS Radeon RX 6750 XT Elite 12GB GDDR6,806.7,1360.99,80,554.29,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte AORUS Radeon RX 6800 XT MASTER 16GB GDDR6,1371.04,1360.99,80,-10.05,PcComponentes,tarjetas-graficas,2026-04-16
Gigabyte Aorus GeForce RTX 2070 8G 8GB GDDR6,325.45,1776.99,100,1451.54,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce GT 730 2GB GDDR5,153.57,491.99,94,338.42,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce GTX 1660 OC 6GB GDDR5,483.25,1587.99,100,1104.74,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 2060 D6 6GB GDDR6,557.0,2039.99,96,1482.99,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 2070 WindForce 8G 8GB GDDR6,269.99,868.99,100,599.0,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 2080 Gaming OC 8GB GDDR6,423.0,1700.99,100,1277.99,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 2080 Ti Windforce OC 11GB GDDR6,803.15,1997.99,100,1194.84,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 3050 WINDFORCE OC 6GB GDDR6,350.0,2039.99,95,1689.99,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 3070 GAMING OC 8GB GDDR6,349.99,1700.99,94,1351.0,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 3070 GAMING OC LHR V2 8GB GDDR6,302.65,1700.99,87,1398.34,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 3070 Ti GAMING OC 8GB GDDR6X,379.99,1700.99,82,1321.0,Kaggle,tarjetas-graficas,2026-04-16
Gigabyte GeForce RTX 3070 Ti VISION OC 8GB GDDR6,396.85,1700.99,81,1304.14,Kaggle,tarjetas-graficas,2026-04-16
MSI MPG B550 GAMING PLUS ,119.9,544.99,88,425.09,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX Z890-E GAMING WIFI,483.9,1096.99,92,613.09,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING B850-PLUS WIFI,199.0,1614.99,80,1415.99,Kaggle,placas-base,2026-04-16
ASUS PRIME B860M-A-CSM,143.99,1001.99,84,858.0,Kaggle,placas-base,2026-04-16
Gigabyte B550M K Rev. 1.0,69.9,339.99,80,270.09,Kaggle,placas-base,2026-04-16
ASUS PRIME B550M-A/CSM,83.5,1001.99,84,918.49,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING X870-PLUS WIFI,249.9,1614.99,80,1365.09,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING B650E-PLUS WIFI PCIe 5.0,220.63,750.99,81,530.36,Kaggle,placas-base,2026-04-16
Asus PRIME B550M-K,80.99,370.99,80,290.0,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING B850-E WIFI,169.9,1096.99,80,927.09,Kaggle,placas-base,2026-04-16
Asus TUF GAMING B550-PLUS,147.24,1614.99,89,1467.75,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX X870E-E GAMING WIFI,509.9,1096.99,90,587.09,Kaggle,placas-base,2026-04-16
MSI MPG B850 EDGE TI WIFI,238.95,945.99,81,707.04,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX B850-E GAMING WIFI,339.79,1096.99,92,757.2,Kaggle,placas-base,2026-04-16
Asus Prime A520M-K,56.99,370.99,80,314.0,Kaggle,placas-base,2026-04-16
ASUS ROG CROSSHAIR X870E HERO,569.9,427.99,88,-141.91,PcComponentes,placas-base,2026-04-16
Asus ROG STRIX B550-F GAMING,145.0,831.99,90,686.99,Kaggle,placas-base,2026-04-16
Asus ROG STRIX B550-F GAMING WIFI II,155.9,1096.99,84,941.09,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX B850-A GAMING WIFI,249.9,1096.99,88,847.09,Kaggle,placas-base,2026-04-16
ASUS Prime H610M-K,73.99,370.99,80,297.0,Kaggle,placas-base,2026-04-16
Asus TUF GAMING B550M-PLUS WIFI II,118.9,977.94,81,859.04,Kaggle,placas-base,2026-04-16
Gigabyte B550M Aorus Elite,96.95,680.99,87,584.04,Kaggle,placas-base,2026-04-16
ASUS Prime B760M-A-CSM,114.99,1001.99,84,887.0,Kaggle,placas-base,2026-04-16
Gigabyte A520M S2H,58.0,491.99,80,433.99,Kaggle,placas-base,2026-04-16
ASUS PRIME B760M-K,103.99,370.99,80,267.0,Kaggle,placas-base,2026-04-16
MSI MPG X670E CARBON WIFI,272.18,680.99,86,408.81,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING B760 PLUS WIFI,179.99,1614.99,80,1435.0,Kaggle,placas-base,2026-04-16
ASUS PRIME B550-PLUS,126.99,173.99,86,47.0,Kaggle,placas-base,2026-04-16
Placa Base Gigabyte B650 AMD AM5 MicroATX B650M GAMING PLUS WIFI DDR5 2xM.2 2.5GbE WiFi 6E Bluetooth 5.3,134.99,,80,,Mismo Precio,placas-base,2026-04-16
ASUS PRIME B760-PLUS,132.99,173.99,86,41.0,Kaggle,placas-base,2026-04-16
ASUS PRIME B860M-K,141.23,370.99,80,229.76,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX B650E-E GAMING WIFI,269.9,1096.99,90,827.09,Kaggle,placas-base,2026-04-16
Gigabyte X870E AORUS PRO,347.71,339.99,86,-7.72,PcComponentes,placas-base,2026-04-16
Asus PRIME B550M-A,104.98,1001.99,80,897.01,Kaggle,placas-base,2026-04-16
ASUS PRIME Z790-P,186.99,1210.99,83,1024.0,Kaggle,placas-base,2026-04-16
ASUS Prime B650M-K,92.99,370.99,80,278.0,Kaggle,placas-base,2026-04-16
ASUS PRIME H610M-A-CSM,93.99,1001.99,84,908.0,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX B850-F GAMING WIFI,267.39,1096.99,88,829.6,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX B650E-I GAMING WIFI,239.9,1096.99,87,857.09,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING Z790 PLUS WIFI,181.75,1614.99,80,1433.24,Kaggle,placas-base,2026-04-16
ASUS PRIME A620M-K,82.99,370.99,80,288.0,Kaggle,placas-base,2026-04-16
Gigabyte Z790 AORUS ELITE AX,237.8,680.99,83,443.19,Kaggle,placas-base,2026-04-16
ASUS PRIME B860-PLUS-CSM,172.93,226.99,88,54.06,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING B860M-PLUS,204.05,1614.99,87,1410.94,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING B650-E WIFI,173.99,1096.99,80,923.0,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING Z890-PLUS WIFI,296.98,1614.99,80,1318.01,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX B860-A GAMING WIFI,258.99,1096.99,88,838.0,Kaggle,placas-base,2026-04-16
MSI MPG Z890 EDGE TI WIFI,415.99,945.99,81,530.0,Kaggle,placas-base,2026-04-16
MSI MPG X870E CARBON WIFI,519.01,680.99,86,161.98,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING A620M-PLUS,115.58,1614.99,87,1499.41,Kaggle,placas-base,2026-04-16
Asrock B550 Phantom Gaming 4,90.99,907.99,90,817.0,Kaggle,placas-base,2026-04-16
ASUS PRO WS W680-ACE,580.98,302.99,86,-277.99,PcComponentes,placas-base,2026-04-16
ASUS ROG MAXIMUS Z890 HERO,789.44,700.99,89,-88.45,PcComponentes,placas-base,2026-04-16
Gigabyte B650M S2H,103.0,491.99,80,388.99,Kaggle,placas-base,2026-04-16
ASUS PRIME B650-PLUS-CSM,142.99,226.99,88,84.0,Kaggle,placas-base,2026-04-16
Gigabyte X870E AORUS MASTER,558.47,529.99,88,-28.48,PcComponentes,placas-base,2026-04-16
Gigabyte B860M DS3H,144.9,982.99,81,838.09,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING B860-PLUS WIFI,214.94,1614.99,80,1400.05,Kaggle,placas-base,2026-04-16
Gigabyte B850M DS3H,156.82,982.99,81,826.17,Kaggle,placas-base,2026-04-16
ASUS TUF GAMING B850M-PLUS,217.99,1614.99,87,1397.0,Kaggle,placas-base,2026-04-16
ASUS PRIME X870-P,236.99,1210.99,83,974.0,Kaggle,placas-base,2026-04-16
ASUS ROG STRIX B650E-F GAMING WIFI,280.99,1096.99,87,816.0,Kaggle,placas-base,2026-04-16
