Producto,Precio Coolmod,Precio PcComponentes,Similitud (%),Diferencia (€),MayorPrecio,Fecha
HP 15-FD0267NS i5-1334U 8GB 512GB 15.6 FreeDOS,549.95,475.0,90,74.95,Coolmod,2026-04-15
MSI Vector A16 HX A8WIG-054XES (CM) R9-8940HX RTX 5080 64GB 1TB 16 QHD+ 240Hz W11P,2599.95,2549.0,85,50.95,Coolmod,2026-04-15
MSI Vector A16 HX A8WIG-054XES (CM) R9-8940HX RTX 5080 64GB 1TB 16 QHD+ 240Hz W11P,2599.95,2549.0,85,50.95,Coolmod,2026-04-15
Microsoft Surface Pro 10 U5-135U 16GB 256GB 13 W11P Platino,1902.95,1904.53,93,-1.58,PcComponentes,2026-04-15
Microsoft Surface Pro 10 U5-135U 16GB 256GB 13 W11P Platino,1902.95,1904.53,93,-1.58,PcComponentes,2026-04-15
Lenovo V14 G4 i5-13420H 8GB 512GB 14 W11P,499.95,579.0,89,-79.05,PcComponentes,2026-04-15
Lenovo V14 G4 i5-13420H 8GB 512GB 14 W11P,499.95,579.0,89,-79.05,PcComponentes,2026-04-15
Asus VivoBook 15 X1504VA-BQ4271 Core 7-150U 16GB 512GB 15.6 FreeDOS,607.95,709.0,87,-101.05,PcComponentes,2026-04-15
Asus VivoBook 15 X1504VA-BQ4271 Core 7-150U 16GB 512GB 15.6 FreeDOS,607.95,699.0,87,-91.05,PcComponentes,2026-04-15
Asus VivoBook 15 X1504VA-BQ5318W Core 7-150U 16GB 512GB 15.6 W11H,684.94,709.0,96,-24.06,PcComponentes,2026-04-15
Asus VivoBook 15 X1504VA-BQ5318W Core 7-150U 16GB 512GB 15.6 W11H,684.94,699.0,96,-14.06,PcComponentes,2026-04-15
Samsung Galaxy Book4 NP750XGJ-KG2ES i5-1335U 16GB 512GB 15.6 W11H,731.95,609.0,86,122.95,Coolmod,2026-04-15
Samsung Galaxy Book4 NP750XGJ-KG2ES i5-1335U 16GB 512GB 15.6 W11H,731.95,609.0,86,122.95,Coolmod,2026-04-15
Samsung Galaxy Book4 NP750XGJ-KG2ES i5-1335U 16GB 512GB 15.6 W11H,731.95,609.0,86,122.95,Coolmod,2026-04-15
Lenovo ThinkPad L13 2-en-1 Gen 6 U5-225U 16GB 512GB 13.3 W11P,1718.95,1532.6,85,186.35,Coolmod,2026-04-15
Lenovo ThinkPad L13 2-en-1 Gen 6 U5-225U 16GB 512GB 13.3 W11P,1718.95,1532.6,85,186.35,Coolmod,2026-04-15
Dell Pro 16 PC16250 U5-235U 16GB 512GB 16 W11P,1183.95,1183.95,90,0.0,Igual,2026-04-15
Dell Pro 16 PC16250 U5-235U 16GB 512GB 16 W11P,1183.95,1183.95,90,0.0,Igual,2026-04-15
HP 15-FD0011NS i7-1355U 16GB 1TB 15.6,713.95,718.99,100,-5.04,PcComponentes,2026-04-15
HP 15-FD0011NS i7-1355U 16GB 1TB 15.6,713.95,718.99,100,-5.04,PcComponentes,2026-04-15
Asus VivoBook 17 F1704VA-AU049W Core 7-150U 16GB 1TB 17.3 W11H,787.95,759.0,96,28.95,Coolmod,2026-04-15
Asus VivoBook 17 F1704VA-AU049W Core 7-150U 16GB 1TB 17.3 W11H,787.95,759.0,96,28.95,Coolmod,2026-04-15
Lenovo V15 G4 AMN R3-7320U 8GB 512GB 15.6 FHD W11H,434.95,441.99,86,-7.04,PcComponentes,2026-04-15
Lenovo V15 G4 AMN R3-7320U 8GB 512GB 15.6 FHD W11H,434.95,441.99,86,-7.04,PcComponentes,2026-04-15
HP 15S-FD0327NS i7-1355U 16GB 512GB 15.6 FreeDOS,640.95,656.45,96,-15.5,PcComponentes,2026-04-15
HP 15S-FD0327NS i7-1355U 16GB 512GB 15.6 FreeDOS,640.95,656.45,96,-15.5,PcComponentes,2026-04-15
Asus VivoBook 15 F1504VA-BQ257 Core 7-150U 16GB 1TB 15.6 FreeDOS,666.95,635.37,93,31.58,Coolmod,2026-04-15
Asus VivoBook 15 F1504VA-BQ257 Core 7-150U 16GB 1TB 15.6 FreeDOS,666.95,635.37,93,31.58,Coolmod,2026-04-15
Asus Vivobook 15 D1502NAQ-BQ168 AMD Ryzen 7 170 16GB 512GB 15.6 FreeDOS,646.95,572.33,94,74.62,Coolmod,2026-04-15
Asus Vivobook 15 D1502NAQ-BQ168 AMD Ryzen 7 170 16GB 512GB 15.6 FreeDOS,646.95,572.33,94,74.62,Coolmod,2026-04-15
Dell Pro 15 Essential PV15250 i7-1355U 16GB 512GB 15.6 W11H,684.94,757.21,95,-72.27,PcComponentes,2026-04-15
Dell Pro 15 Essential PV15250 i7-1355U 16GB 512GB 15.6 W11H,684.94,757.21,95,-72.27,PcComponentes,2026-04-15
Samsung Galaxy Book4 i7-1355U 16GB 512GB 15.6 W11P,966.95,699.0,95,267.95,Coolmod,2026-04-15
Samsung Galaxy Book4 i7-1355U 16GB 512GB 15.6 W11P,966.95,699.0,95,267.95,Coolmod,2026-04-15
Lenovo V15 G4 AMN R5-7520U 16GB 512GB 15.6 FHD FreeDOS,497.95,517.97,89,-20.02,PcComponentes,2026-04-15
Lenovo V15 G4 AMN R5-7520U 16GB 512GB 15.6 FHD FreeDOS,497.95,517.97,89,-20.02,PcComponentes,2026-04-15
Acer Aspire Go 15 AG15-72P-5187 CI5-120U 16GB 1TB 15.6 W11H,583.95,459.0,86,124.95,Coolmod,2026-04-15
Acer Aspire Go 15 AG15-72P-5187 CI5-120U 16GB 1TB 15.6 W11H,583.95,459.0,86,124.95,Coolmod,2026-04-15
Asus VivoBook 15 X1504VA-BQ4105 Core 5-120U 16GB 512GB 15.6 FreeDOS,556.95,569.0,93,-12.05,PcComponentes,2026-04-15
Asus VivoBook 15 X1504VA-BQ4105 Core 5-120U 16GB 512GB 15.6 FreeDOS,556.95,569.0,93,-12.05,PcComponentes,2026-04-15
Dell Pro 15 Essential PV15250 i5-1334U 8GB 512GB 15.6 W11H,505.95,604.57,95,-98.62,PcComponentes,2026-04-15
Dell Pro 15 Essential PV15250 i5-1334U 8GB 512GB 15.6 W11H,505.95,604.57,95,-98.62,PcComponentes,2026-04-15
MSI Katana 15 HX B14WFK-461XES i7-14650HX RTX 5060 32GB 1TB 15.6 FreeDOS,1517.94,1399.0,100,118.94,Coolmod,2026-04-15
MSI Katana 15 HX B14WFK-461XES i7-14650HX RTX 5060 32GB 1TB 15.6 FreeDOS,1517.94,1399.0,100,118.94,Coolmod,2026-04-15
Apple MacBook Air M5 16GB 1TB 13 macOS Azul Cielo,1374.95,1449.0,100,-74.05,PcComponentes,2026-04-15
Apple MacBook Air M5 16GB 1TB 13 macOS Azul Cielo,1374.95,1449.0,100,-74.05,PcComponentes,2026-04-15
Apple MacBook Air M5 16GB 1TB 13 macOS Medianoche,1374.95,1449.0,100,-74.05,PcComponentes,2026-04-15
Apple MacBook Air M5 16GB 1TB 13 macOS Medianoche,1374.95,1449.0,100,-74.05,PcComponentes,2026-04-15
Apple MacBook Air M4 16GB 256GB 15.3 macOS Blanco Estrella,1275.94,1159.0,86,116.94,Coolmod,2026-04-15
Apple MacBook Air M4 16GB 256GB 15.3 macOS Blanco Estrella,1275.94,1159.0,86,116.94,Coolmod,2026-04-15
Dell Pro 15 Essential PV15250 i5-1334U 16GB 512GB 15.6 W11H,590.95,674.3,95,-83.35,PcComponentes,2026-04-15
Dell Pro 15 Essential PV15250 i5-1334U 16GB 512GB 15.6 W11H,590.95,674.3,95,-83.35,PcComponentes,2026-04-15
Asus VivoBook Go 15 E1504FA-BQ2446W R5-7520U 16GB 512GB 15.6 W11H,551.95,429.0,85,122.95,Coolmod,2026-04-15
Asus VivoBook Go 15 E1504FA-BQ2446W R5-7520U 16GB 512GB 15.6 W11H,551.95,429.0,85,122.95,Coolmod,2026-04-15
Asus VivoBook Go 15 E1504FA-BQ2446W R5-7520U 16GB 512GB 15.6 W11H,551.95,429.0,85,122.95,Coolmod,2026-04-15
"Samsung Galaxy Book4 i5-1335U 16GB 512GB 15,6 W11P",842.95,609.0,95,233.95,Coolmod,2026-04-15
"Samsung Galaxy Book4 i5-1335U 16GB 512GB 15,6 W11P",842.95,609.0,95,233.95,Coolmod,2026-04-15
"Samsung Galaxy Book4 i5-1335U 16GB 512GB 15,6 W11P",842.95,609.0,95,233.95,Coolmod,2026-04-15
HP ProBook 4 G1i U7-255U 16GB 512GB 14 W11P,1264.95,1222.11,90,42.84,Coolmod,2026-04-15
HP ProBook 4 G1i U7-255U 16GB 512GB 14 W11P,1264.95,1222.11,90,42.84,Coolmod,2026-04-15
MSI Cyborg A15 AI B2HWFKG-072XES R9-270 RTX 5060 32GB 1TB 15.6 FreeDOS,1433.95,1399.0,98,34.95,Coolmod,2026-04-15
MSI Cyborg A15 AI B2HWFKG-072XES R9-270 RTX 5060 32GB 1TB 15.6 FreeDOS,1433.95,1399.0,98,34.95,Coolmod,2026-04-15
Lenovo V15 G4 AMN R5-7520U 16GB 512GB 15.6 W11H,527.95,517.97,91,9.98,Coolmod,2026-04-15
Lenovo V15 G4 AMN R5-7520U 16GB 512GB 15.6 W11H,527.95,517.97,91,9.98,Coolmod,2026-04-15
Asus Vivobook 17 X1704VA-AU979W Core 5-120U 16GB 1TB 17.3 W11H,736.95,599.0,89,137.95,Coolmod,2026-04-15
Asus Vivobook 17 X1704VA-AU979W Core 5-120U 16GB 1TB 17.3 W11H,736.95,599.0,89,137.95,Coolmod,2026-04-15
Dell Pro 14 Plus PB14250 U5-235U 16GB 512GB 14 W11P,1439.95,1449.0,91,-9.05,PcComponentes,2026-04-15
Dell Pro 14 Plus PB14250 U5-235U 16GB 512GB 14 W11P,1439.95,1449.0,91,-9.05,PcComponentes,2026-04-15
Lenovo V15 G4 AMN AMD R3-7320U 8GB 512GB 15.6 FreeDOS,377.96,441.99,88,-64.03,PcComponentes,2026-04-15
Lenovo V15 G4 AMN AMD R3-7320U 8GB 512GB 15.6 FreeDOS,377.96,441.99,88,-64.03,PcComponentes,2026-04-15
Asus ZenBook S16 OLED UM5606WA-RK320W AMD Ryzen AI 9 HX 370 32GB 1TB 16 W11H,1736.96,1599.99,91,136.97,Coolmod,2026-04-15
Asus ZenBook S16 OLED UM5606WA-RK320W AMD Ryzen AI 9 HX 370 32GB 1TB 16 W11H,1736.96,1599.99,91,136.97,Coolmod,2026-04-15
Asus Vivobook 15 X1504VA-BQ575W Core 5 120U 16GB 512GB 15.6 W11H,595.95,569.0,89,26.95,Coolmod,2026-04-15
Asus Vivobook 15 X1504VA-BQ575W Core 5 120U 16GB 512GB 15.6 W11H,595.95,569.0,89,26.95,Coolmod,2026-04-15
Apple MacBook Pro M4 Max 48GB 1TB 16 macOS Plata,4192.95,2499.0,86,1693.95,Coolmod,2026-04-15
Apple MacBook Pro M4 Max 48GB 1TB 16 macOS Plata,4192.95,2499.0,86,1693.95,Coolmod,2026-04-15
Asus VivoBook 17 X1704VA-AU981 Core 5-120U 16GB 1TB 17.3 FreeDOS,667.94,599.0,93,68.94,Coolmod,2026-04-15
Asus VivoBook 17 X1704VA-AU981 Core 5-120U 16GB 1TB 17.3 FreeDOS,667.94,599.0,93,68.94,Coolmod,2026-04-15
Asus Vivobook Go 15 E1504GA-NJ463W i3-N305 8GB 512GB 15.6 W11H,485.95,399.0,89,86.95,Coolmod,2026-04-15
Asus Vivobook Go 15 E1504GA-NJ463W i3-N305 8GB 512GB 15.6 W11H,485.95,399.0,89,86.95,Coolmod,2026-04-15
HP 15-FD0319NS i7-1355U 16GB 512GB 15.6 FreeDOS,574.96,579.0,89,-4.04,PcComponentes,2026-04-15
HP 15-FD0319NS i7-1355U 16GB 512GB 15.6 FreeDOS,574.96,579.0,89,-4.04,PcComponentes,2026-04-15
HP 15-FD0319NS i7-1355U 16GB 512GB 15.6 FreeDOS,574.96,579.0,89,-4.04,PcComponentes,2026-04-15
Asus VivoBook 15 F1504VA-BQ125 Core 5-120U 16GB 512GB 15.6 W11H,599.95,549.0,90,50.95,Coolmod,2026-04-15
Asus VivoBook 15 F1504VA-BQ125 Core 5-120U 16GB 512GB 15.6 W11H,599.95,549.0,90,50.95,Coolmod,2026-04-15
Acer Aspire Lite AL15-32P N4500 4GB 128GB 15.6 W11H,283.95,319.0,90,-35.05,PcComponentes,2026-04-15
Acer Aspire Lite AL15-32P N4500 4GB 128GB 15.6 W11H,283.95,319.0,90,-35.05,PcComponentes,2026-04-15
Acer Aspire Lite 15 AL15-32P-C997 N4500 8GB 128GB 15.6 W11H,331.95,319.0,95,12.95,Coolmod,2026-04-15
Acer Aspire Lite 15 AL15-32P-C997 N4500 8GB 128GB 15.6 W11H,331.95,319.0,95,12.95,Coolmod,2026-04-15
Asus VivoBook 15 F1504VA-BQ258W Core 7-150U 16GB 1TB 15.6 W11H,735.95,679.0,96,56.95,Coolmod,2026-04-15
Asus VivoBook 15 F1504VA-BQ258W Core 7-150U 16GB 1TB 15.6 W11H,735.95,679.0,96,56.95,Coolmod,2026-04-15
Asus ExpertBook P1 P1503CVA-S70674 i7-13620H 16GB 512GB 15.6 FreeDOS,710.95,589.0,86,121.95,Coolmod,2026-04-15
Asus ExpertBook P1 P1503CVA-S70674 i7-13620H 16GB 512GB 15.6 FreeDOS,710.95,579.0,86,131.95,Coolmod,2026-04-15
Apple MacBook Air M4 16GB 256GB 13 Azul Cielo,929.95,899.0,94,30.95,Coolmod,2026-04-15
Apple MacBook Air M4 16GB 256GB 13 Azul Cielo,929.95,899.0,94,30.95,Coolmod,2026-04-15
Apple MacBook Air M4 16GB 256GB 13 Azul Cielo,929.95,899.0,94,30.95,Coolmod,2026-04-15
Microsoft Surface Pro 11 Gen Copilot+ PC Snapdragon X Plus 16GB 512GB 13 W11P Negro,1715.95,1922.05,89,-206.1,PcComponentes,2026-04-15
Microsoft Surface Pro 11 Gen Copilot+ PC Snapdragon X Plus 16GB 512GB 13 W11P Negro,1715.95,1922.05,89,-206.1,PcComponentes,2026-04-15
Microsoft Surface Pro 11 Gen Copilot+ PC Snapdragon X Plus 16GB 512GB 13 W11P Platino,1391.95,1922.05,89,-530.1,PcComponentes,2026-04-15
Microsoft Surface Pro 11 Gen Copilot+ PC Snapdragon X Plus 16GB 512GB 13 W11P Platino,1391.95,1922.05,89,-530.1,PcComponentes,2026-04-15
HP EliteBook X G1i AI U7-258V 32GB 1TB 14 W11P,1941.95,1934.47,86,7.48,Coolmod,2026-04-15
HP EliteBook X G1i AI U7-258V 32GB 1TB 14 W11P,1941.95,1934.65,86,7.3,Coolmod,2026-04-15
